employee_id,employee_name,department,region,joining_date,performance_score,attendance_rate,training_hours,productivity_score,attrition_status
EMP-0154,Pat Wilson,Operations,REG-02,2023-11-07,90.4,96.5,14.4,70.5,No
EMP-0155,Casey Lopez,Marketing,REG-02,2024-04-22,77.8,91.5,27.1,68.7,Yes
EMP-0156,Skyler Rodriguez,Finance,REG-05,2023-09-17,94.8,95.1,71.8,93.4,No
EMP-0157,Skyler Davis,Marketing,REG-01,2023-06-02,73.1,86.7,54.2,75.6,No
EMP-0158,Quinn Gonzalez,Marketing,REG-02,2023-02-12,77.7,88.7,48.7,76.0,No
EMP-0159,Jordan Smith,Sales,REG-02,2022-06-08,85.9,96.9,24.1,72.5,No
EMP-0160,Dakota Williams,Sales,REG-05,2024-05-19,79.8,99.6,34.5,74.7,No
EMP-0161,Reese Martinez,Engineering,REG-01,2023-06-26,78.6,95.6,63.5,83.9,No
EMP-0162,Alex Miller,Marketing,REG-04,2023-01-30,63.7,85.7,62.9,74.8,No
EMP-0163,Skyler Martinez,Finance,REG-01,2023-10-13,95.1,93.1,17.0,72.3,No
EMP-0164,Sam Brown,Sales,REG-05,2022-05-11,78.2,91.7,38.7,73.3,No
EMP-0165,Casey Lopez,Sales,REG-03,2024-09-20,83.1,93.7,47.3,79.1,No
EMP-0166,Reese Jones,HR,REG-04,2022-07-02,88.6,85.2,60.1,83.5,No
EMP-0167,Reese Miller,Marketing,REG-03,2023-12-14,97.2,91.0,36.9,80.0,No
EMP-0168,Skyler Garcia,Operations,REG-01,2022-05-22,72.6,88.1,53.2,75.4,No
EMP-0169,Cameron Williams,HR,REG-03,2022-08-17,83.5,95.1,54.0,82.2,Yes
EMP-0170,Riley Lopez,HR,REG-02,2023-08-17,93.6,85.3,28.8,73.8,No
EMP-0171,Quinn Martinez,Marketing,REG-04,2023-08-28,98.6,89.6,63.5,90.1,No
EMP-0172,Pat Davis,Sales,REG-05,2022-01-04,81.6,93.9,31.5,72.6,No
EMP-0173,Sam Rodriguez,HR,REG-05,2024-05-21,82.3,91.1,15.3,66.0,No
EMP-0174,Quinn Martinez,Operations,REG-03,2022-04-26,76.0,88.6,68.7,82.7,No
EMP-0175,Avery Garcia,Finance,REG-04,2024-01-21,82.7,97.1,17.5,68.8,No
EMP-0176,Quinn Martinez,Operations,REG-01,2022-09-29,71.3,85.1,52.3,73.7,No
EMP-0177,Casey Gonzalez,Marketing,REG-01,2022-12-01,97.6,86.8,72.1,92.1,Yes
EMP-0178,Pat Williams,Marketing,REG-01,2023-02-11,75.6,93.3,73.1,85.6,Yes
EMP-0179,Casey Williams,HR,REG-05,2024-05-03,69.9,92.8,63.9,79.8,Yes
EMP-0180,Cameron Rodriguez,Operations,REG-05,2022-07-14,94.1,97.1,33.1,79.2,No
EMP-0181,Skyler Rodriguez,Operations,REG-02,2023-09-26,83.2,92.1,68.3,86.5,No
EMP-0182,Jordan Rodriguez,HR,REG-04,2024-06-05,69.2,87.2,77.2,82.8,No
EMP-0183,Cameron Smith,Sales,REG-01,2022-08-06,61.8,90.2,37.3,65.8,No
EMP-0184,Jordan Martinez,Operations,REG-03,2023-10-23,67.9,98.7,76.5,85.5,No
EMP-0185,Jordan Rodriguez,HR,REG-05,2022-07-16,92.2,99.7,56.5,88.0,No
EMP-0186,Sam Miller,Marketing,REG-05,2022-02-23,79.6,92.2,60.5,82.2,Yes
EMP-0187,Jordan Rodriguez,Marketing,REG-02,2023-03-01,94.2,97.1,12.2,71.4,No
EMP-0188,Morgan Miller,HR,REG-01,2022-02-18,69.0,98.8,31.2,68.9,No
EMP-0189,Taylor Martinez,Operations,REG-01,2023-02-07,78.9,95.0,76.8,88.9,No
EMP-0190,Cameron Miller,HR,REG-02,2022-11-05,96.7,90.7,65.1,90.3,No
EMP-0191,Chris Anderson,HR,REG-05,2023-09-04,77.0,92.2,32.1,70.5,No
EMP-0192,Taylor Williams,Finance,REG-01,2023-09-16,60.3,88.5,75.2,78.9,No
EMP-0193,Sam Davis,Sales,REG-03,2023-05-26,72.0,98.5,31.3,70.1,No
EMP-0194,Quinn Garcia,HR,REG-05,2022-08-17,83.4,89.9,16.7,66.6,No
EMP-0195,Morgan Rodriguez,Finance,REG-03,2022-01-07,79.1,86.2,19.6,64.8,Yes
EMP-0196,Chris Brown,Sales,REG-02,2023-12-20,92.3,98.5,13.9,71.7,No
EMP-0197,Pat Williams,Engineering,REG-02,2024-08-27,63.6,98.0,75.1,83.0,No
EMP-0198,Morgan Anderson,Engineering,REG-02,2023-10-11,97.8,92.4,39.8,81.8,No
EMP-0199,Avery Rodriguez,Engineering,REG-02,2023-09-25,73.5,89.8,57.3,77.8,No
EMP-0200,Taylor Williams,Operations,REG-03,2022-06-24,86.6,90.2,59.9,84.2,No
EMP-0201,Pat Johnson,Operations,REG-03,2023-05-16,74.4,86.3,14.7,61.2,Yes
EMP-0202,Alex Rodriguez,Engineering,REG-01,2023-01-07,72.0,86.4,41.4,70.2,No
EMP-0203,Riley Brown,HR,REG-02,2023-01-01,90.1,89.5,71.2,89.6,No
EMP-0204,Skyler Lopez,HR,REG-01,2024-05-03,90.8,91.9,34.9,77.0,No
EMP-0205,Quinn Martinez,Marketing,REG-02,2022-09-24,71.3,98.5,24.2,67.1,Yes
EMP-0206,Riley Rodriguez,Operations,REG-01,2022-08-16,67.6,92.9,39.5,69.7,No
EMP-0207,Jordan Lopez,Finance,REG-02,2024-04-25,85.1,98.8,78.6,93.2,No
EMP-0208,Alex Rodriguez,Marketing,REG-05,2023-07-02,94.7,97.2,49.0,85.4,No
EMP-0209,Taylor Davis,Operations,REG-04,2022-07-21,60.4,97.4,40.4,68.5,Yes
EMP-0210,Jordan Garcia,Finance,REG-01,2023-04-01,87.0,91.1,68.2,87.7,No
EMP-0211,Chris Lopez,Finance,REG-04,2024-04-11,91.4,92.7,17.1,70.8,No
EMP-0212,Jordan Garcia,Marketing,REG-04,2022-07-12,71.4,98.0,44.8,74.8,No
EMP-0213,Riley Lopez,Marketing,REG-02,2023-08-30,91.6,93.8,14.6,70.3,No
EMP-0214,Morgan Wilson,Marketing,REG-02,2023-08-25,83.6,88.9,36.3,73.7,No
EMP-0215,Sam Anderson,HR,REG-01,2023-09-17,82.9,93.8,12.0,65.8,Yes
EMP-0216,Alex Rodriguez,Operations,REG-05,2022-12-15,78.7,93.7,47.2,77.3,No
EMP-0217,Cameron Hernandez,Engineering,REG-03,2022-06-17,63.7,86.3,51.6,70.7,No
EMP-0218,Sam Anderson,HR,REG-02,2023-10-29,71.5,89.2,75.7,83.7,No
EMP-0219,Sam Martinez,Engineering,REG-05,2024-01-12,77.9,90.6,21.9,66.6,No
EMP-0220,Chris Wilson,Marketing,REG-03,2023-10-13,87.7,90.2,46.4,79.5,No
EMP-0221,Reese Johnson,Operations,REG-01,2022-07-03,65.6,91.6,50.9,72.8,No
EMP-0222,Dakota Hernandez,Engineering,REG-01,2024-04-19,65.4,92.9,23.1,62.7,No
EMP-0223,Skyler Davis,Sales,REG-04,2022-01-15,96.1,96.3,47.0,85.0,No
EMP-0224,Sam Anderson,HR,REG-01,2024-03-19,70.4,98.9,39.8,72.8,No
EMP-0225,Taylor Rodriguez,Marketing,REG-05,2022-04-18,63.2,95.9,54.7,74.6,No
EMP-0226,Casey Garcia,Marketing,REG-05,2022-04-27,90.2,93.7,52.7,84.0,No
EMP-0227,Skyler Rodriguez,Sales,REG-03,2024-08-25,95.7,93.6,72.1,93.4,Yes
EMP-0228,Quinn Martinez,Engineering,REG-05,2023-10-08,93.0,97.5,41.2,81.9,No
EMP-0229,Chris Garcia,Finance,REG-05,2024-06-01,76.6,91.3,24.5,67.2,No
EMP-0230,Chris Johnson,Engineering,REG-03,2024-02-02,79.7,96.3,62.8,84.3,No
EMP-0231,Reese Smith,Engineering,REG-03,2022-07-19,64.9,90.9,62.2,76.6,Yes
EMP-0232,Dakota Brown,Operations,REG-01,2022-01-11,69.7,97.9,18.8,64.3,No
EMP-0233,Riley Jones,Finance,REG-03,2022-12-24,64.7,95.9,13.0,59.5,Yes
EMP-0234,Casey Garcia,Operations,REG-01,2024-05-26,79.6,86.8,29.8,69.1,Yes
EMP-0235,Taylor Jones,Finance,REG-04,2022-07-31,75.6,98.6,75.3,88.1,No
EMP-0236,Casey Davis,Finance,REG-04,2024-02-15,75.7,98.7,15.5,65.7,No
EMP-0237,Casey Lopez,Operations,REG-04,2023-08-05,69.6,90.3,65.9,79.6,Yes
EMP-0238,Alex Hernandez,HR,REG-05,2022-11-26,98.0,99.6,68.9,94.9,No
EMP-0239,Chris Hernandez,HR,REG-04,2023-11-13,69.6,94.8,70.3,82.6,No
EMP-0240,Morgan Martinez,Marketing,REG-05,2022-07-10,73.9,96.8,18.1,65.4,No
EMP-0241,Morgan Miller,Engineering,REG-05,2022-02-13,85.7,97.6,73.8,91.2,No
EMP-0242,Taylor Davis,Sales,REG-02,2023-07-12,83.2,100.0,55.5,84.1,No
EMP-0243,Chris Anderson,Finance,REG-03,2022-07-01,80.3,90.7,27.8,69.8,Yes
EMP-0244,Reese Hernandez,Marketing,REG-01,2022-02-05,94.8,94.4,58.8,88.3,No
EMP-0245,Chris Hernandez,Finance,REG-03,2023-07-03,94.0,94.5,31.0,77.6,No
EMP-0246,Alex Garcia,Sales,REG-01,2022-07-13,86.1,93.2,19.5,69.7,No
EMP-0247,Alex Jones,Finance,REG-04,2023-03-06,68.1,87.0,70.0,79.6,No
EMP-0248,Sam Hernandez,HR,REG-03,2023-04-10,64.5,96.3,26.1,64.5,Yes
EMP-0249,Morgan Anderson,Sales,REG-05,2023-02-26,82.4,85.7,44.7,75.4,No
EMP-0250,Quinn Wilson,Engineering,REG-05,2023-10-04,97.6,98.8,49.9,87.4,No
EMP-0251,Casey Gonzalez,HR,REG-05,2023-06-06,77.7,89.0,32.4,69.9,No
EMP-0252,Jordan Wilson,Engineering,REG-02,2024-05-01,92.4,89.9,62.4,87.3,No
EMP-0253,Skyler Davis,Sales,REG-04,2022-09-30,94.6,85.3,77.7,92.6,No
EMP-0254,Casey Johnson,Sales,REG-04,2024-05-09,92.5,89.1,60.5,86.4,No
EMP-0255,Morgan Jones,Finance,REG-05,2023-05-31,89.6,98.5,45.5,82.5,No
EMP-0256,Riley Davis,Engineering,REG-03,2024-09-11,80.0,96.0,25.0,70.2,No
EMP-0257,Riley Davis,Sales,REG-03,2022-04-07,69.1,85.1,10.9,57.3,No
EMP-0258,Chris Brown,Operations,REG-04,2024-09-19,60.9,93.2,37.7,66.5,Yes
EMP-0259,Quinn Williams,Sales,REG-03,2022-03-11,85.6,87.6,70.9,87.1,No
EMP-0260,Dakota Smith,Engineering,REG-03,2023-04-07,78.0,85.1,63.1,80.4,No
EMP-0261,Alex Lopez,Engineering,REG-04,2023-12-08,83.1,95.6,17.0,68.3,Yes
EMP-0262,Sam Garcia,Finance,REG-05,2023-10-21,62.9,94.3,60.0,76.0,No
EMP-0263,Avery Anderson,Finance,REG-02,2024-02-08,70.8,99.3,12.0,62.6,No
EMP-0264,Casey Davis,Finance,REG-04,2022-09-19,93.8,93.6,24.3,74.7,No
EMP-0265,Jordan Davis,HR,REG-02,2022-07-09,71.3,89.0,72.3,82.3,No
EMP-0266,Morgan Williams,Marketing,REG-01,2022-04-21,80.8,94.3,12.5,65.3,Yes
EMP-0267,Casey Miller,Sales,REG-04,2022-08-09,62.0,85.2,48.2,68.4,No
EMP-0268,Avery Williams,Sales,REG-02,2024-03-08,61.4,93.9,64.6,77.0,No
EMP-0269,Cameron Gonzalez,Marketing,REG-02,2022-03-13,82.3,87.9,77.1,88.2,No
EMP-0270,Alex Garcia,Marketing,REG-04,2023-09-12,72.2,85.9,44.6,71.4,Yes
EMP-0271,Quinn Martinez,Sales,REG-01,2024-03-28,78.0,94.2,16.3,65.6,No
EMP-0272,Alex Hernandez,Marketing,REG-02,2022-06-14,63.6,88.1,66.9,77.0,No
EMP-0273,Reese Rodriguez,Marketing,REG-01,2023-11-02,75.2,87.1,18.4,63.1,No
EMP-0274,Sam Garcia,Engineering,REG-03,2024-02-01,75.9,86.7,44.7,73.1,No
EMP-0275,Casey Gonzalez,Sales,REG-04,2024-05-04,60.2,88.9,27.1,60.9,Yes
EMP-0276,Taylor Wilson,Finance,REG-03,2022-10-28,93.4,99.0,19.2,74.3,No
EMP-0277,Jordan Hernandez,Marketing,REG-01,2022-05-28,73.4,88.2,51.1,75.0,No
EMP-0278,Taylor Lopez,Engineering,REG-01,2023-08-21,70.6,96.1,41.2,72.5,No
